TEAM,Season,W,Perc_3PA,Perc_2PA,Perc_AST,Perc_STL,PFminusPFD,OPP_Perc_3PA,OPP_Perc_2PA,OPP_Perc_AST,OPP_Perc_STL,L1_N_Awards_Won,L1_Coach_RS_W_Perc_Overall,L1_Coach_P_W_Perc,AVG_PLAYER_AGE,Coach,Coach_N_Seasons_Overall,Coach_Perc_Seasons_TEAM
Sacramento Kings,2002,59,0.18426323319027182,0.8157367668097282,0.6273904996915485,0.5832012678288431,1666,0.16364912280701754,0.8363508771929825,0.5880976262119693,0.5738255033557047,1.0,0.601,0.5145631067961165,28.142857142857142,Rick Adelman,13,0.38461538461538464
Sacramento Kings,2003,55,0.2232156161525853,0.7767843838474147,0.6935223976796648,0.5795918367346938,1582,0.17413294797687862,0.8258670520231214,0.5550955414012739,0.5725593667546174,1.0,0.611,0.5217391304347826,29.46153846153846,Rick Adelman,14,0.42857142857142855
Sacramento Kings,2004,50,0.2000573230151906,0.7999426769848094,0.6259756478301592,0.5598006644518272,1682,0.18988618354703934,0.8101138164529607,0.5543000627746391,0.5796831314072693,1.0,0.616,0.5275590551181102,27.6,Rick Adelman,15,0.4666666666666667
Sacramento Kings,2005,44,0.21661538461538463,0.7833846153846153,0.6178063642518619,0.5070892410341952,-198,0.19565863812072554,0.8043413618792744,0.5676383884703571,0.5471226021684737,0.0,0.615,0.5151515151515151,26.928571428571427,Rick Adelman,16,0.5
Sacramento Kings,2006,33,0.2316289038579302,0.7683710961420698,0.5661339680380822,0.5026217228464419,-198,0.22845150652076152,0.7715484934792385,0.5846838258659041,0.47906197654941374,0.0,0.61,0.5072463768115942,27.642857142857142,Eric Musselman,3,0.3333333333333333
Sacramento Kings,2007,38,0.20844769746874048,0.7915523025312595,0.5149523496549457,0.5208,-53,0.23767082590612001,0.76232917409388,0.598661141217724,0.5018982536066818,0.0,0.439,,27.41176470588235,Reggie Theus,1,1.0
Sacramento Kings,2008,17,0.23844427823485415,0.7615557217651459,0.5414715719063545,0.4830220713073005,173,0.21054181389870436,0.7894581861012956,0.5473940871685462,0.5560821484992101,0.0,0.463,,26.714285714285715,Kenny Natt,1,1.0
Sacramento Kings,2009,25,0.2005801305293691,0.7994198694706309,0.5340330788804071,0.5035714285714286,177,0.20371997656707674,0.7962800234329233,0.5261019068458893,0.47797716150081565,0.0,0.19,,25.9375,Paul Westphal,8,0.125
Sacramento Kings,2010,24,0.1829775039403926,0.8170224960596074,0.5344607530312699,0.5049833887043189,82,0.19821271608555524,0.8017872839144448,0.5457055214723926,0.5030211480362538,0.0,0.575,0.5510204081632653,25.066666666666666,Paul Westphal,9,0.2222222222222222
Sacramento Kings,2011,22,0.22776610644257703,0.772233893557423,0.510441767068273,0.5532544378698225,-26,0.22036013549652345,0.7796398645034766,0.5888305847076462,0.5441176470588235,0.0,0.536,0.5510204081632653,25.0,Keith Smart,3,0.3333333333333333
