TEAM,GP,W,L,MIN,"EST. 
OFFRTG","EST. 
DEFRTG","EST. 
NETRTG","EST. 
AST RATIO","EST. 
OREB%","EST. 
DREB%","EST. 
REB%","EST. 
TOV%","EST. 
PACE",Season
Miami Heat,82,61,21,3961,104.0,97.9,6.1,16.9,29.2,70.6,50.3,17.5,90.60,1996
Houston Rockets,82,57,25,3971,105.8,101.4,4.4,18.7,28.4,71.4,51.0,17.5,94.10,1996
New York Knicks,82,57,25,3971,102.2,97.6,4.6,17.2,30.5,73.4,52.7,19.1,93.00,1996
Seattle SuperSonics,82,57,25,3956,108.2,99.5,8.7,18.1,30.9,69.1,50.1,16.1,92.90,1996
Los Angeles Lakers,82,56,26,3986,105.2,100.8,4.3,17.0,31.6,68.5,50.2,15.7,93.80,1996
Atlanta Hawks,82,56,26,3961,105.4,98.9,6.5,15.5,31.5,69.2,50.8,16.7,89.60,1996
Charlotte Hornets,82,54,28,3961,108.0,105.6,2.4,19.2,28.7,68.1,49.0,16.0,91.10,1996
Detroit Pistons,82,54,28,3966,107.9,101.3,6.6,16.1,27.5,70.4,49.4,14.6,86.90,1996
Portland Trail Blazers,82,49,33,3971,104.6,100.5,4.1,16.1,32.5,72.4,53.0,17.5,93.70,1996
Orlando Magic,82,45,37,3971,102.3,103.3,-1.0,16.3,30.9,67.3,48.6,16.6,90.90,1996
Washington Bullets,82,44,38,3971,104.1,102.0,2.1,17.7,30.2,70.3,50.5,16.5,94.80,1996
Cleveland Cavaliers,82,42,40,3971,102.0,99.4,2.6,17.5,29.4,71.9,50.3,16.9,85.20,1996
Phoenix Suns,82,40,42,3971,106.7,105.5,1.2,18.9,27.1,69.4,48.4,14.9,95.80,1996
Minnesota Timberwolves,82,40,42,3956,102.6,103.7,-1.1,17.7,28.8,68.3,48.7,16.2,93.40,1996
Indiana Pacers,82,39,43,3986,103.0,101.8,1.2,16.8,31.3,70.4,51.2,17.6,91.50,1996
Los Angeles Clippers,82,36,46,3986,101.8,104.9,-3.1,15.6,30.8,68.1,48.8,16.7,94.00,1996
Sacramento Kings,82,34,48,3962,101.9,105.8,-3.8,16.8,31.9,68.4,49.9,17.2,93.40,1996
Milwaukee Bucks,82,33,49,3946,103.4,105.6,-2.2,15.8,29.7,69.9,49.9,17.0,91.90,1996
Golden State Warriors,82,30,52,3981,104.1,108.9,-4.8,16.8,32.3,67.5,49.9,18.0,94.70,1996
Toronto Raptors,82,30,52,3966,101.3,105.1,-3.7,16.1,32.5,68.6,50.0,17.4,93.30,1996
New Jersey Nets,82,26,56,3956,101.4,106.5,-5.1,15.5,36.4,69.0,51.8,16.4,95.30,1996
Dallas Mavericks,82,24,58,3961,98.0,105.7,-7.7,16.0,30.0,67.3,48.4,17.5,91.50,1996
Philadelphia 76ers,82,22,60,3956,101.4,108.4,-6.9,15.2,34.1,66.5,49.9,17.7,98.10,1996
Denver Nuggets,82,21,61,3986,101.2,108.2,-7.0,17.4,28.8,69.3,49.3,17.1,95.20,1996
San Antonio Spurs,82,20,62,3946,100.5,108.8,-8.3,16.3,32.4,67.0,49.1,16.8,90.00,1996
Boston Celtics,82,15,67,3981,100.8,108.8,-8.0,16.1,29.4,68.5,47.5,16.4,98.30,1996
Vancouver Grizzlies,82,14,68,3956,97.6,108.9,-11.3,17.9,29.7,64.1,46.7,17.4,90.90,1996
