TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Philadelphia 76ers,82,19,63,48.4,74.2,25.8,62.1,12.3,21.2,17.5,16.7,18.7,49.8,50.7,49.3,88.0,12.0,57.6,42.4,2013
Milwaukee Bucks,82,15,67,48.5,76.9,23.1,61.4,18.3,21.0,13.3,17.6,16.9,43.1,54.7,45.3,81.2,18.8,59.6,40.4,2013
Miami Heat,82,66,16,48.5,71.5,28.5,57.6,17.3,25.5,11.6,16.9,18.1,40.3,52.2,47.8,86.6,13.4,60.0,40.0,2012
Oklahoma City Thunder,82,60,22,48.4,75.6,24.4,58.3,18.0,20.7,15.8,21.0,17.2,40.3,49.2,50.8,85.1,14.9,56.1,43.9,2012
San Antonio Spurs,82,58,24,48.5,73.6,26.4,60.3,17.0,23.5,13.3,16.2,16.9,43.3,57.2,42.8,90.5,9.5,64.1,35.9,2012
Denver Nuggets,82,57,25,48.5,78.3,21.7,64.8,10.1,18.0,19.0,17.3,18.7,54.7,55.1,44.9,86.2,13.8,60.0,40.0,2012
Los Angeles Clippers,82,56,26,48.1,73.5,26.5,61.1,16.7,22.7,15.5,16.2,19.4,44.4,55.6,44.4,87.7,12.3,62.0,38.0,2012
Memphis Grizzlies,82,56,26,48.3,83.4,16.6,67.4,21.3,15.0,13.4,17.6,18.6,46.1,53.3,46.7,88.5,11.5,57.9,42.1,2012
New York Knicks,82,54,28,48.1,64.6,35.4,51.4,17.6,32.6,8.8,16.0,17.8,33.7,39.8,60.2,83.3,16.7,52.7,47.3,2012
Brooklyn Nets,82,49,33,48.4,73.1,26.9,58.3,15.5,23.7,9.3,18.0,16.4,42.7,48.4,51.6,87.1,12.9,56.7,43.3,2012
Indiana Pacers,81,49,32,48.4,75.5,24.5,59.7,17.6,21.7,12.4,18.6,16.0,42.1,51.3,48.7,84.7,15.3,57.8,42.2,2012
Golden State Warriors,82,47,35,48.3,76.1,23.9,59.6,21.7,23.8,14.6,16.6,13.8,37.9,54.2,45.8,76.9,23.1,58.9,41.1,2012
Chicago Bulls,82,45,37,48.4,81.1,18.9,64.9,22.2,17.5,10.9,17.6,16.1,42.7,61.0,39.0,83.9,16.1,64.5,35.5,2012
Houston Rockets,82,45,37,48.2,65.1,34.9,52.0,8.3,29.9,17.6,18.1,17.0,43.6,52.0,48.0,84.1,15.9,60.9,39.1,2012
Los Angeles Lakers,82,45,37,48.2,69.7,30.3,55.5,14.4,25.6,10.0,18.9,15.2,41.1,51.8,48.2,85.9,14.1,59.8,40.2,2012
Atlanta Hawks,82,44,38,48.4,71.4,28.6,59.2,17.2,26.4,18.1,14.4,17.4,42.1,58.5,41.5,87.4,12.6,65.1,34.9,2012
Utah Jazz,82,43,39,48.5,79.4,20.6,63.2,19.4,18.9,14.5,17.9,17.8,43.8,55.4,44.6,89.3,10.7,61.0,39.0,2012
Boston Celtics,81,41,40,49.0,78.5,21.5,64.0,24.6,19.1,13.8,16.9,17.3,39.4,55.5,44.5,91.4,8.6,61.4,38.6,2012
Dallas Mavericks,82,41,41,48.7,76.4,23.6,62.1,22.1,21.9,16.0,16.0,16.0,40.1,53.8,46.2,86.0,14.0,59.9,40.1,2012
Milwaukee Bucks,82,38,44,48.4,76.8,23.2,62.3,19.1,22.2,13.5,15.4,18.1,43.2,54.8,45.2,81.7,18.3,60.0,40.0,2012
Philadelphia 76ers,82,34,48,48.2,79.1,20.9,66.5,24.8,20.3,13.7,13.1,17.5,41.8,56.0,44.0,85.5,14.5,61.0,39.0,2012
Toronto Raptors,82,34,48,48.7,75.1,24.9,60.4,20.8,21.5,10.2,18.1,17.4,39.6,54.1,45.9,80.9,19.1,59.2,40.8,2012
Portland Trail Blazers,82,33,49,48.4,71.6,28.4,58.4,20.1,25.3,10.2,16.3,15.5,38.3,52.9,47.1,81.6,18.4,59.3,40.7,2012
Minnesota Timberwolves,82,31,51,48.1,78.0,22.0,63.5,20.7,17.2,12.9,19.3,18.9,42.8,59.2,40.8,79.8,20.2,62.4,37.6,2012
Detroit Pistons,82,29,53,48.3,78.3,21.7,63.4,14.3,19.8,14.6,16.8,16.2,49.1,51.4,48.6,92.6,7.4,58.5,41.5,2012
Washington Wizards,82,29,53,48.4,77.7,22.3,61.9,22.6,21.4,15.2,16.7,16.7,39.3,54.3,45.7,90.1,9.9,61.0,39.0,2012
Sacramento Kings,82,28,54,48.4,75.7,24.3,60.3,14.6,22.3,16.8,17.5,16.3,45.6,49.1,50.9,80.7,19.3,55.3,44.7,2012
New Orleans Hornets,82,27,55,48.2,77.6,22.4,62.7,17.6,20.8,10.3,16.5,15.7,45.1,52.1,47.9,85.8,14.2,58.2,41.8,2012
Phoenix Suns,82,25,57,48.3,79.0,21.0,66.1,23.7,18.4,14.1,15.4,16.9,42.5,56.4,43.6,83.1,16.9,60.6,39.4,2012
Cleveland Cavaliers,82,24,58,48.1,77.1,22.9,61.8,20.6,20.7,10.5,17.4,17.5,41.2,50.9,49.1,82.1,17.9,56.6,43.4,2012
Charlotte Bobcats,82,21,61,48.3,79.0,21.0,61.5,20.1,18.4,16.8,20.2,15.5,41.3,50.7,49.3,83.8,16.2,56.2,43.8,2012
Orlando Magic,82,20,62,48.2,77.7,22.3,67.0,20.7,19.7,10.6,13.3,14.9,46.4,56.3,43.7,82.0,18.0,60.5,39.5,2012
Chicago Bulls,66,50,16,48.3,79.5,20.5,64.4,22.9,19.8,14.1,15.8,15.4,41.5,58.1,41.9,80.7,19.3,61.9,38.1,2011
San Antonio Spurs,66,50,16,48.3,74.3,25.7,60.2,16.5,24.2,13.2,15.6,15.4,43.6,50.8,49.2,87.3,12.7,58.5,41.5,2011
Oklahoma City Thunder,66,47,19,48.5,74.8,25.2,58.5,17.9,20.8,15.6,20.7,15.6,40.6,41.9,58.1,82.8,17.2,49.7,50.3,2011
Miami Heat,66,46,20,48.6,80.2,19.8,63.9,20.7,17.1,13.9,19.0,20.0,43.2,48.5,51.5,84.1,15.9,53.8,46.2,2011
Indiana Pacers,66,42,24,48.5,80.2,19.8,60.8,18.7,18.2,13.4,20.9,16.8,42.2,45.5,54.5,85.5,14.5,52.2,47.8,2011
Los Angeles Lakers,66,41,25,48.7,79.1,20.9,64.4,20.6,16.9,9.6,18.7,12.8,43.7,57.5,42.5,82.0,18.0,61.1,38.9,2011
Memphis Grizzlies,66,41,25,48.3,84.3,15.7,68.5,21.0,13.3,16.5,18.2,20.8,47.5,49.1,50.9,85.2,14.8,53.2,46.8,2011
Atlanta Hawks,66,40,26,49.0,75.1,24.9,60.8,19.5,23.2,16.4,16.1,17.7,41.3,53.2,46.8,91.5,8.5,61.0,39.0,2011
Los Angeles Clippers,66,40,26,48.4,73.1,26.9,59.8,19.7,24.0,11.3,16.2,17.9,40.1,50.0,50.0,82.3,17.7,56.8,43.2,2011
Boston Celtics,66,39,27,48.3,80.6,19.4,65.3,27.2,18.0,13.1,16.8,17.7,38.1,62.0,38.0,90.9,9.1,66.5,33.5,2011
Denver Nuggets,66,38,28,48.6,75.7,24.3,62.2,10.9,19.0,19.0,18.8,18.1,51.3,55.3,44.7,92.0,8.0,61.5,38.5,2011
Orlando Magic,66,37,29,48.4,65.4,34.6,51.6,12.0,32.3,10.4,16.0,16.0,39.7,47.4,52.6,83.6,16.4,58.1,41.9,2011
Dallas Mavericks,66,36,30,48.7,72.9,27.1,60.1,21.2,23.6,12.5,16.3,17.7,39.0,50.9,49.1,82.9,17.1,57.5,42.5,2011
New York Knicks,66,36,30,48.3,71.2,28.8,57.2,15.9,24.0,12.6,18.8,19.2,41.3,47.7,52.3,86.5,13.5,56.2,43.8,2011
Utah Jazz,66,36,30,49.0,84.7,15.3,68.4,18.5,12.5,16.9,19.1,16.7,50.0,52.9,47.1,90.8,9.2,57.0,43.0,2011
Philadelphia 76ers,66,35,31,48.2,82.5,17.5,68.7,27.2,16.9,16.4,14.4,17.4,41.5,55.3,44.7,79.9,20.1,58.8,41.2,2011
Houston Rockets,66,34,32,48.7,76.0,24.0,62.1,20.4,22.2,13.9,15.7,17.2,41.7,50.4,49.6,81.6,18.4,56.4,43.6,2011
Phoenix Suns,66,33,33,48.0,76.2,23.8,63.2,22.1,20.5,12.9,16.3,15.3,41.1,54.9,45.1,81.1,18.9,59.6,40.4,2011
Milwaukee Bucks,66,31,35,48.1,77.6,22.4,63.2,21.2,20.0,14.2,16.8,18.4,42.0,57.8,42.2,81.7,18.3,62.0,38.0,2011
Portland Trail Blazers,66,28,38,48.4,74.5,25.5,60.0,19.9,22.4,11.2,17.7,16.4,40.1,48.3,51.7,87.9,12.1,56.2,43.8,2011
Minnesota Timberwolves,66,26,40,48.3,73.8,26.2,58.2,16.6,22.0,10.6,19.8,14.4,41.7,47.4,52.6,84.1,15.9,54.8,45.2,2011
Detroit Pistons,66,25,41,48.4,82.5,17.5,65.8,20.2,15.9,14.8,18.3,17.3,45.6,48.8,51.2,84.9,15.1,53.8,46.2,2011
Golden State Warriors,66,23,43,48.2,75.2,24.8,60.9,22.0,24.4,13.3,14.7,16.5,38.9,51.6,48.4,87.0,13.0,59.1,40.9,2011
Toronto Raptors,66,23,43,48.4,79.1,20.9,63.6,22.8,18.3,10.7,18.1,16.6,40.8,56.2,43.8,85.8,14.2,60.9,39.1,2011
New Jersey Nets,66,22,44,48.2,72.2,27.8,57.1,21.2,24.8,11.9,18.1,17.2,36.0,51.9,48.1,78.9,21.1,58.0,42.0,2011
Sacramento Kings,66,22,44,48.2,77.2,22.8,63.8,14.7,18.9,18.9,17.3,18.2,49.1,45.6,54.4,78.3,21.7,51.0,49.0,2011
Cleveland Cavaliers,66,21,45,48.4,76.3,23.8,59.3,14.2,21.5,11.3,19.2,15.6,45.1,51.6,48.4,83.6,16.4,57.9,42.1,2011
New Orleans Hornets,66,21,45,48.3,84.8,15.2,69.0,24.1,13.1,10.0,17.9,17.0,44.9,56.4,43.6,83.4,16.6,59.5,40.5,2011
Washington Wizards,66,20,46,48.1,80.4,19.6,67.0,21.0,16.7,19.2,16.3,18.6,46.0,46.7,53.3,85.8,14.2,52.3,47.7,2011
Charlotte Bobcats,66,7,59,48.2,83.1,16.9,67.3,26.8,13.7,14.7,19.0,16.4,40.5,58.4,41.6,75.7,24.3,60.5,39.5,2011
Chicago Bulls,82,62,20,48.4,78.5,21.5,62.6,20.1,19.0,13.7,18.4,16.1,42.5,54.8,45.2,86.3,13.7,60.1,39.9,2010
San Antonio Spurs,82,61,21,48.2,73.9,26.1,57.9,17.1,24.2,14.7,17.9,15.3,40.8,50.7,49.3,85.8,14.2,58.3,41.7,2010
Miami Heat,82,58,24,48.2,76.5,23.5,59.4,22.2,19.6,13.9,21.0,15.7,37.2,47.9,52.1,81.9,18.1,54.1,45.9,2010
Dallas Mavericks,82,57,25,48.1,72.6,27.4,59.0,21.9,23.5,14.8,17.5,15.2,37.1,56.5,43.5,90.5,9.5,63.7,36.3,2010
Los Angeles Lakers,82,57,25,48.4,78.0,22.0,62.6,18.7,18.9,11.4,18.5,15.0,43.9,52.7,47.3,81.9,18.1,57.6,42.4,2010
Boston Celtics,82,56,26,48.2,82.0,18.0,66.1,23.1,15.5,13.0,18.4,16.7,43.0,59.7,40.3,88.2,11.8,63.5,36.5,2010
Oklahoma City Thunder,82,55,27,48.8,78.8,21.2,60.0,19.3,17.0,15.4,23.0,16.2,40.7,48.8,51.2,84.8,15.2,54.5,45.5,2010
Orlando Magic,82,52,30,48.4,67.2,32.8,53.7,16.2,28.4,11.3,17.9,15.2,37.5,45.4,54.6,83.5,16.5,55.3,44.7,2010
Denver Nuggets,82,50,32,48.1,74.2,25.8,56.4,15.1,22.5,13.1,21.1,15.1,41.3,49.7,50.3,87.5,12.5,57.6,42.4,2010
Portland Trail Blazers,82,48,34,48.3,77.2,22.8,61.6,19.5,19.7,10.5,18.7,18.1,42.1,51.5,48.5,93.4,6.6,58.8,41.2,2010
Memphis Grizzlies,82,46,36,48.5,86.4,13.6,70.6,19.1,11.3,16.6,18.1,19.5,51.4,48.8,51.2,90.6,9.4,52.8,47.2,2010
New Orleans Hornets,82,46,36,48.4,80.8,19.2,64.2,24.6,17.1,11.8,18.7,17.2,39.6,52.3,47.7,86.3,13.7,57.4,42.6,2010
Atlanta Hawks,82,44,38,48.1,77.8,22.2,63.4,24.5,19.3,15.0,17.3,15.0,38.9,55.0,45.0,88.2,11.8,60.7,39.3,2010
Houston Rockets,82,43,39,48.5,73.6,26.4,57.4,16.9,23.4,14.2,19.2,16.1,40.6,55.3,44.7,85.1,14.9,61.7,38.3,2010
New York Knicks,82,42,40,48.2,69.7,30.3,54.4,16.0,26.3,12.5,19.3,16.7,38.4,47.5,52.5,82.1,17.9,56.0,44.0,2010
Philadelphia 76ers,82,41,41,48.6,81.6,18.4,66.1,24.3,16.4,17.8,17.6,16.6,41.8,55.7,44.3,83.1,16.9,59.6,40.4,2010
Phoenix Suns,82,40,42,48.8,72.9,27.1,58.5,18.7,24.4,13.2,17.1,15.1,39.8,53.1,46.9,86.9,13.1,60.4,39.6,2010
Utah Jazz,82,39,43,48.5,80.9,19.1,64.5,20.9,16.0,14.1,19.5,16.0,43.6,58.8,41.2,86.2,13.8,62.7,37.3,2010
Indiana Pacers,82,37,45,48.2,75.6,24.4,59.1,20.6,21.4,13.9,19.5,15.4,38.5,45.0,55.0,89.2,10.8,53.6,46.4,2010
Golden State Warriors,82,36,46,48.4,75.2,24.8,60.5,19.3,24.2,18.2,15.2,18.9,41.2,48.9,51.1,86.6,13.4,56.8,43.2,2010
Milwaukee Bucks,82,35,47,48.4,78.4,21.6,61.9,23.0,19.2,10.9,18.9,18.1,38.8,48.0,52.0,88.2,11.8,54.9,45.1,2010
Charlotte Bobcats,82,34,48,48.3,81.1,18.9,64.8,20.8,15.4,12.8,19.8,15.9,44.1,56.0,44.0,86.0,14.0,60.1,39.9,2010
Los Angeles Clippers,82,32,50,48.4,77.0,23.0,61.9,15.7,19.0,14.8,19.1,16.5,46.2,54.8,45.2,86.4,13.6,60.1,39.9,2010
Detroit Pistons,82,30,52,48.5,81.1,18.9,65.0,23.1,17.8,13.5,17.2,17.0,41.9,50.7,49.3,89.2,10.8,56.6,43.4,2010
New Jersey Nets,82,24,58,48.8,79.9,20.1,63.7,22.3,17.8,12.0,18.5,14.2,41.4,55.0,45.0,80.8,19.2,59.0,41.0,2010
Sacramento Kings,82,24,58,48.4,81.7,18.3,66.4,21.1,15.8,15.4,17.9,17.1,45.3,48.0,52.0,87.9,12.1,53.4,46.6,2010
Washington Wizards,82,23,59,48.6,82.8,17.2,66.6,23.8,14.7,16.9,18.7,17.5,42.7,46.8,53.2,89.0,11.0,52.2,47.8,2010
Toronto Raptors,82,22,60,48.2,83.8,16.2,68.9,23.3,12.7,18.2,18.4,16.0,45.6,53.4,46.6,87.2,12.8,57.1,42.9,2010
Cleveland Cavaliers,82,19,63,48.2,77.6,22.4,60.7,18.4,19.5,14.8,19.8,14.8,42.3,54.2,45.8,84.7,15.3,59.6,40.4,2010
Minnesota Timberwolves,82,17,65,48.2,77.7,22.3,60.4,20.2,21.3,11.8,18.3,16.2,40.1,47.6,52.4,77.9,22.1,53.4,46.6,2010
Cleveland Cavaliers,82,61,21,48.2,75.2,24.8,59.7,16.6,21.6,13.7,18.7,15.1,43.1,55.1,44.9,76.2,23.8,59.2,40.8,2009
Orlando Magic,82,59,23,48.1,65.0,35.0,51.4,13.7,29.9,11.8,18.7,13.9,37.7,42.1,57.9,83.7,16.3,53.7,46.3,2009
Los Angeles Lakers,82,57,25,48.4,77.3,22.7,62.6,19.6,19.1,11.1,18.2,16.0,43.0,49.7,50.3,81.2,18.8,55.0,45.0,2009
Dallas Mavericks,82,55,27,48.5,77.8,22.2,61.7,24.5,20.0,15.7,18.2,16.1,37.2,55.6,44.4,86.4,13.6,61.1,38.9,2009
Phoenix Suns,82,54,28,48.1,73.9,26.1,57.7,16.6,24.2,14.5,18.0,13.3,41.2,50.9,49.1,80.1,19.9,57.3,42.7,2009
Atlanta Hawks,82,53,29,48.4,78.6,21.4,63.7,19.9,18.9,15.9,17.4,16.5,43.8,51.0,49.0,82.8,17.2,56.2,43.8,2009
Denver Nuggets,82,53,29,48.2,77.3,22.7,59.1,18.6,18.7,14.2,22.2,16.9,40.5,50.3,49.7,77.2,22.8,55.0,45.0,2009
Utah Jazz,82,53,29,48.2,81.6,18.4,65.2,18.6,15.4,14.7,19.4,17.6,46.6,65.2,34.8,84.1,15.9,67.8,32.2,2009
Boston Celtics,82,50,32,48.2,77.2,22.8,62.4,18.0,18.4,14.4,19.2,17.5,44.5,58.5,41.5,89.0,11.0,63.5,36.5,2009
Oklahoma City Thunder,82,50,32,48.3,81.5,18.5,63.6,21.2,15.1,15.5,21.4,17.7,42.4,48.0,52.0,88.3,11.7,53.5,46.5,2009
Portland Trail Blazers,82,50,32,48.4,78.5,21.5,61.7,24.5,18.3,9.6,20.0,16.6,37.2,49.4,50.6,91.0,9.0,56.3,43.7,2009
San Antonio Spurs,82,50,32,48.2,76.8,23.2,62.5,19.7,20.0,12.4,17.5,14.5,42.7,51.4,48.6,89.2,10.8,58.1,41.9,2009
Miami Heat,82,47,35,48.5,78.1,21.9,62.9,24.6,18.7,10.0,18.3,16.8,38.3,46.1,53.9,81.0,19.0,51.9,48.1,2009
Milwaukee Bucks,82,46,36,48.7,74.1,25.9,60.1,22.2,24.2,10.8,15.8,16.7,37.9,49.5,50.5,85.1,14.9,57.0,43.0,2009
Charlotte Bobcats,82,44,38,48.5,78.9,21.1,61.4,16.1,17.7,14.9,21.0,18.5,45.3,52.6,47.4,86.1,13.9,58.0,42.0,2009
Houston Rockets,82,42,40,48.5,73.5,26.5,58.3,15.3,23.1,14.3,18.6,16.5,43.0,50.7,49.3,85.0,15.0,57.9,42.1,2009
Chicago Bulls,82,41,41,48.5,84.4,15.6,68.3,26.7,13.2,14.5,18.5,14.7,41.5,51.0,49.0,88.4,11.6,55.3,44.7,2009
Memphis Grizzlies,82,40,42,48.5,85.2,14.8,68.5,18.4,12.3,17.2,19.2,16.7,50.1,43.3,56.7,86.0,14.0,47.9,52.1,2009
Toronto Raptors,82,40,42,48.2,78.9,21.1,62.8,22.2,18.2,14.2,19.0,14.9,40.6,51.0,49.0,84.2,15.8,56.4,43.6,2009
New Orleans Hornets,82,37,45,48.4,77.0,23.0,63.4,20.8,20.8,15.0,15.7,16.9,42.6,52.0,48.0,82.8,17.2,57.5,42.5,2009
Indiana Pacers,82,32,50,48.1,72.2,27.8,57.1,19.3,23.9,13.1,18.9,15.7,37.9,47.4,52.6,92.6,7.4,57.3,42.7,2009
Los Angeles Clippers,82,29,53,48.1,77.9,22.1,64.2,20.4,18.5,13.4,17.4,14.6,43.8,56.3,43.7,81.4,18.6,60.3,39.7,2009
New York Knicks,82,29,53,48.5,68.8,31.2,56.9,17.6,26.6,9.7,16.4,15.3,39.4,47.9,52.1,84.9,15.1,56.7,43.3,2009
Detroit Pistons,82,27,55,48.2,82.0,18.0,66.6,25.8,14.6,13.7,18.9,18.1,40.8,49.0,51.0,89.0,11.0,54.1,45.9,2009
Philadelphia 76ers,82,27,55,48.3,79.4,20.6,65.2,22.5,17.7,19.3,17.0,16.6,42.7,50.2,49.8,86.5,13.5,55.8,44.2,2009
Golden State Warriors,82,26,56,48.1,76.2,23.8,60.4,22.2,21.3,21.8,18.3,19.5,38.2,48.1,51.9,85.8,14.2,55.2,44.8,2009
Washington Wizards,82,26,56,48.4,81.7,18.3,65.3,26.0,16.4,11.2,18.3,15.5,39.3,47.4,52.6,77.5,22.5,51.8,48.2,2009
Sacramento Kings,82,25,57,48.5,79.9,20.1,64.9,20.2,17.6,15.0,17.4,16.2,44.8,47.1,52.9,88.2,11.8,53.4,46.6,2009
Minnesota Timberwolves,82,15,67,48.2,82.9,17.1,67.1,22.8,15.0,15.4,17.8,15.9,44.4,47.5,52.5,84.6,15.4,52.4,47.6,2009
New Jersey Nets,82,12,70,48.2,81.9,18.1,64.3,20.8,14.9,14.0,20.8,16.2,43.5,49.6,50.4,88.1,11.9,54.7,45.3,2009
Cleveland Cavaliers,82,66,16,48.2,74.1,25.9,57.5,22.0,23.9,11.4,18.5,17.2,35.6,48.4,51.6,79.0,21.0,55.0,45.0,2008
Los Angeles Lakers,82,65,17,48.2,78.3,21.7,63.0,19.0,18.7,11.5,18.3,17.6,43.9,52.2,47.8,85.4,14.6,57.7,42.3,2008
Boston Celtics,82,62,20,48.5,78.6,21.4,61.3,19.9,19.5,11.6,19.2,17.1,41.4,54.1,45.9,91.1,8.9,60.6,39.4,2008
Orlando Magic,82,59,23,48.1,66.5,33.5,51.0,15.5,29.6,11.4,19.4,14.2,35.5,41.7,58.3,87.1,12.9,54.4,45.6,2008
Denver Nuggets,82,54,28,48.1,77.3,22.7,58.7,16.6,19.2,16.1,22.1,17.3,42.1,55.5,44.5,77.7,22.3,59.5,40.5,2008
Portland Trail Blazers,82,54,28,48.4,76.1,23.9,59.4,20.5,21.9,9.2,18.7,15.8,38.9,46.7,53.3,90.1,9.9,55.2,44.8,2008
San Antonio Spurs,82,54,28,48.5,75.2,24.8,60.7,24.5,23.6,9.7,15.7,13.8,36.2,48.9,51.1,88.5,11.5,57.1,42.9,2008
Houston Rockets,82,53,29,48.3,74.6,25.4,57.9,17.2,23.1,8.9,19.0,13.8,40.7,49.2,50.8,82.4,17.6,56.2,43.8,2008
Dallas Mavericks,82,50,32,48.3,75.9,24.1,61.3,26.7,20.5,14.9,18.2,15.1,34.6,50.6,49.4,85.1,14.9,56.9,43.1,2008
New Orleans Hornets,82,49,33,48.2,76.0,24.0,59.9,20.4,21.2,10.9,18.8,15.7,39.6,47.1,52.9,89.9,10.1,55.3,44.7,2008
Utah Jazz,82,48,34,48.5,83.1,16.9,64.8,21.3,13.8,12.4,21.4,18.5,43.5,60.9,39.1,89.3,10.7,64.4,35.6,2008
Atlanta Hawks,82,47,35,48.1,74.7,25.3,58.6,18.1,22.3,15.9,19.1,15.8,40.5,48.3,51.7,86.8,13.2,56.1,43.9,2008
Phoenix Suns,82,46,36,48.2,78.4,21.6,62.8,15.4,18.5,16.1,18.7,15.2,47.5,52.0,48.0,79.6,20.4,56.5,43.5,2008
Miami Heat,82,43,39,48.7,75.5,24.5,60.8,23.1,21.7,9.8,17.5,17.6,37.7,48.5,51.5,82.6,17.4,55.1,44.9,2008
Chicago Bulls,82,41,41,48.6,81.1,18.9,62.9,25.8,17.7,14.7,19.5,16.7,37.0,50.5,49.5,81.7,18.3,55.4,44.6,2008
Philadelphia 76ers,82,41,41,48.2,83.6,16.4,66.5,20.9,12.8,18.0,20.7,18.6,45.6,51.6,48.4,80.9,19.1,55.0,45.0,2008
Detroit Pistons,82,39,43,48.5,83.5,16.5,67.4,30.8,14.6,10.5,18.0,14.2,36.6,51.0,49.0,95.5,4.5,56.7,43.3,2008
Indiana Pacers,82,36,46,48.4,75.6,24.4,59.6,20.1,22.7,12.7,17.7,14.4,39.5,45.4,54.6,93.3,6.7,55.1,44.9,2008
Charlotte Bobcats,82,35,47,48.6,78.7,21.3,61.9,19.0,19.1,10.8,19.0,18.4,42.9,53.9,46.1,93.9,6.1,60.7,39.3,2008
Milwaukee Bucks,82,34,48,48.2,79.2,20.8,61.4,23.2,18.8,11.7,19.8,18.7,38.1,53.9,46.1,89.2,10.8,59.9,40.1,2008
New Jersey Nets,82,34,48,48.4,73.5,26.5,56.5,18.6,24.3,11.3,19.2,15.5,37.9,47.8,52.2,84.2,15.8,55.9,44.1,2008
Toronto Raptors,82,33,49,48.3,80.7,19.3,63.4,28.6,17.7,9.5,18.9,15.2,34.8,54.3,45.7,91.0,9.0,60.1,39.9,2008
New York Knicks,82,32,50,48.3,67.8,32.2,54.1,14.3,28.6,10.2,17.3,16.2,39.9,44.7,55.3,84.3,15.7,55.1,44.9,2008
Golden State Warriors,82,29,53,48.5,79.1,20.9,60.2,20.5,18.5,16.9,21.3,15.2,39.7,46.8,53.2,82.7,17.3,53.0,47.0,2008
Memphis Grizzlies,82,24,58,48.3,82.5,17.5,64.1,20.3,15.5,12.7,20.4,17.6,43.8,43.3,56.7,89.2,10.8,49.7,50.3,2008
Minnesota Timberwolves,82,24,58,48.3,77.3,22.7,60.9,19.1,20.3,10.3,18.8,14.5,41.8,49.1,50.9,87.5,12.5,56.1,43.9,2008
Oklahoma City Thunder,82,23,59,48.3,85.9,14.1,67.2,23.6,12.4,15.0,20.4,15.8,43.6,51.5,48.5,87.8,12.2,55.5,44.5,2008
Los Angeles Clippers,82,19,63,48.5,77.4,22.6,62.1,19.0,20.6,11.2,17.4,14.8,43.0,52.5,47.5,84.7,15.3,58.3,41.7,2008
Washington Wizards,82,19,63,48.1,82.0,18.0,66.0,22.9,15.0,11.1,19.0,15.9,43.1,50.6,49.4,82.5,17.5,54.8,45.2,2008
Sacramento Kings,82,17,65,48.5,76.2,23.8,58.3,20.9,21.3,12.0,20.4,15.7,37.4,48.1,51.9,79.0,21.0,54.1,45.9,2008
Boston Celtics,82,66,16,48.2,75.1,24.9,58.0,19.3,21.7,11.0,20.3,18.8,38.6,54.9,45.1,87.4,12.6,61.4,38.6,2007
Detroit Pistons,82,59,23,48.1,79.7,20.3,62.9,29.7,18.3,11.8,18.9,15.9,33.1,56.6,43.4,84.2,15.8,61.1,38.9,2007
Los Angeles Lakers,82,57,25,48.2,74.3,25.7,58.1,17.8,22.3,11.4,19.6,15.8,40.3,55.4,44.6,86.3,13.7,61.7,38.3,2007
New Orleans Hornets,82,56,26,48.3,76.1,23.9,61.3,21.4,22.9,13.5,15.9,16.6,39.9,48.4,51.6,88.7,11.3,56.4,43.6,2007
San Antonio Spurs,82,56,26,48.1,74.9,25.1,59.9,22.1,22.8,9.9,17.3,15.1,37.8,49.8,50.2,92.8,7.2,58.5,41.5,2007
Houston Rockets,82,55,27,48.1,74.5,25.5,61.0,19.8,22.1,8.4,16.9,15.4,41.3,52.2,47.8,84.6,15.4,58.5,41.5,2007
Phoenix Suns,82,55,27,48.2,74.0,26.0,59.8,19.4,23.1,15.8,17.2,14.4,40.4,60.0,40.0,81.8,18.2,64.5,35.5,2007
Utah Jazz,82,54,28,48.1,83.4,16.6,65.9,21.4,14.0,10.7,20.0,17.6,44.5,62.9,37.1,88.2,11.8,66.0,34.0,2007
Orlando Magic,82,52,30,48.2,67.8,32.2,52.7,12.7,28.0,11.9,19.3,14.7,40.0,44.6,55.4,87.3,12.7,55.8,44.2,2007
Dallas Mavericks,82,51,31,48.1,78.5,21.5,61.5,26.1,18.0,14.5,20.5,14.4,35.3,50.3,49.7,90.3,9.7,56.9,43.1,2007
Denver Nuggets,82,50,32,48.4,77.2,22.8,60.3,18.2,18.8,17.2,20.8,16.3,42.1,55.1,44.9,90.7,9.3,61.2,38.8,2007
Golden State Warriors,82,48,34,48.2,70.5,29.5,58.0,14.3,25.1,20.7,16.9,18.0,43.7,45.9,54.1,81.5,18.5,53.9,46.1,2007
Cleveland Cavaliers,82,45,37,48.4,76.9,23.1,60.4,20.8,21.0,12.3,18.7,14.5,39.5,49.8,50.2,82.1,17.9,55.8,44.2,2007
Washington Wizards,82,43,39,48.5,75.9,24.1,59.5,20.0,21.3,10.4,19.2,15.7,39.5,47.4,52.6,80.5,19.5,53.8,46.2,2007
Portland Trail Blazers,82,41,41,48.5,78.2,21.8,61.3,28.7,20.6,8.2,18.1,14.8,32.6,51.6,48.4,92.0,8.0,59.0,41.0,2007
