,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
33,Jerry Sloan,UTA,14,17,82,44,38,1099,734,365,1314,0.63,153.0,0.5032679738562091,2001
34,Doug Collins,WAS,1,7,82,37,45,82,37,45,537,0.549,38.0,0.39473684210526316,2001
0,Lon Kruger,ATL,3,3,27,11,16,191,69,122,191,0.361,,,2002
1,Terry Stotts,ATL,1,1,55,24,31,55,24,31,55,0.436,,,2002
2,Jim O'Brien,BOS,3,3,82,44,38,212,117,95,212,0.552,26.0,0.5,2002
3,Bill Cartwright,CHI,2,2,82,30,52,137,47,90,137,0.343,,,2002
4,John Lucas,CLE,2,6,42,8,34,124,37,87,431,0.401,14.0,0.42857142857142855,2002
5,Keith Smart,CLE,1,1,40,9,31,40,9,31,40,0.225,,,2002
6,Don Nelson,DAL,6,25,82,60,22,444,245,199,1924,0.57,150.0,0.46,2002
7,Jeff Bzdelik,DEN,1,1,82,17,65,82,17,65,82,0.207,,,2002
8,Rick Carlisle,DET,2,2,82,50,32,164,100,64,164,0.61,27.0,0.4444444444444444,2002
9,Eric Musselman,GSW,1,1,82,38,44,82,38,44,82,0.463,,,2002
10,Rudy Tomjanovich,HOU,12,12,82,43,39,900,503,397,900,0.559,90.0,0.5666666666666667,2002
11,Isiah Thomas,IND,3,3,82,48,34,246,131,115,246,0.533,15.0,0.3333333333333333,2002
12,Alvin Gentry,LAC,3,7,58,19,39,222,89,133,403,0.439,5.0,0.4,2002
13,Dennis Johnson,LAC,1,1,24,8,16,24,8,16,24,0.333,,,2002
14,Phil Jackson,LAL,4,13,82,50,32,328,231,97,1066,0.728,222.0,0.7297297297297297,2002
15,Sidney Lowe,MEM,3,5,8,0,8,172,46,126,307,0.257,,,2002
16,Hubie Brown,MEM,1,13,74,28,46,74,28,46,993,0.476,59.0,0.5254237288135594,2002
17,Pat Riley,MIA,8,21,82,25,57,624,354,270,1679,0.661,255.0,0.6078431372549019,2002
18,George Karl,MIL,5,16,82,42,40,378,205,173,1207,0.587,126.0,0.46825396825396826,2002
19,Flip Saunders,MIN,8,8,82,51,31,604,328,276,604,0.543,29.0,0.2413793103448276,2002
20,Byron Scott,NJN,3,3,82,49,33,246,127,119,246,0.516,40.0,0.625,2002
21,Paul Silas,NOH,1,8,82,47,35,82,47,35,609,0.47,29.0,0.4482758620689655,2002
22,Don Chaney,NYK,2,11,82,37,45,145,57,88,792,0.407,11.0,0.18181818181818182,2002
23,Doc Rivers,ORL,4,4,82,42,40,328,170,158,328,0.518,15.0,0.3333333333333333,2002
24,Larry Brown,PHI,6,24,82,48,34,460,255,205,1900,0.583,183.0,0.48633879781420764,2002
25,Frank Johnson,PHO,2,2,82,44,38,113,55,58,113,0.487,6.0,0.3333333333333333,2002
26,Maurice Cheeks,POR,2,2,82,50,32,164,99,65,164,0.604,10.0,0.3,2002
27,Rick Adelman,SAC,5,13,82,59,23,378,246,132,987,0.611,115.0,0.5217391304347826,2002
28,Gregg Popovich,SAS,7,7,82,60,22,524,339,185,524,0.647,77.0,0.6103896103896104,2002
29,Nate McMillan,SEA,3,3,82,40,42,231,123,108,231,0.532,5.0,0.4,2002
30,Lenny Wilkens,TOR,3,30,82,24,58,246,113,133,2406,0.537,174.0,0.45977011494252873,2002
31,Jerry Sloan,UTA,15,18,82,47,35,1181,781,400,1396,0.627,158.0,0.4936708860759494,2002
32,Doug Collins,WAS,2,8,82,37,45,164,74,90,619,0.536,38.0,0.39473684210526316,2002
0,Terry Stotts,ATL,2,2,82,28,54,137,52,85,137,0.38,,,2003
1,Jim O'Brien,BOS,4,4,46,22,24,258,139,119,258,0.539,26.0,0.5,2003
2,John Carroll,BOS,1,1,36,14,22,36,14,22,36,0.389,4.0,0.0,2003
3,Bill Cartwright,CHI,3,3,14,4,10,151,51,100,151,0.338,,,2003
