,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
3,P.J. Carlesimo,BRK,1,9,54,35,19,54,35,19,554,0.431,19.0,0.3157894736842105,2012
4,Mike Dunlap,CHA,1,1,82,21,61,82,21,61,82,0.256,,,2012
5,Tom Thibodeau,CHI,3,3,82,45,37,230,157,73,230,0.683,34.0,0.47058823529411764,2012
6,Byron Scott,CLE,3,13,82,24,58,230,64,166,937,0.444,57.0,0.5789473684210527,2012
7,Rick Carlisle,DAL,5,11,82,41,41,394,239,155,886,0.587,103.0,0.5145631067961165,2012
8,George Karl,DEN,9,25,82,57,25,680,423,257,1887,0.599,185.0,0.43243243243243246,2012
9,Lawrence Frank,DET,2,9,82,29,53,148,54,94,614,0.454,38.0,0.47368421052631576,2012
10,Mark Jackson,GSW,2,2,82,47,35,148,70,78,148,0.473,12.0,0.5,2012
11,Kevin McHale,HOU,2,4,82,45,37,148,79,69,242,0.488,6.0,0.3333333333333333,2012
12,Frank Vogel,IND,3,3,81,49,32,185,111,74,185,0.6,35.0,0.5142857142857142,2012
13,Vinny Del Negro,LAC,3,5,82,56,26,230,128,102,394,0.533,29.0,0.3448275862068966,2012
14,Mike Brown,LAL,2,7,5,1,4,71,42,29,481,0.653,83.0,0.5662650602409639,2012
15,Bernie Bickerstaff,LAL,1,14,5,4,1,5,4,1,937,0.447,33.0,0.36363636363636365,2012
16,Mike D'Antoni,LAL,1,11,72,40,32,72,40,32,799,0.536,59.0,0.4406779661016949,2012
17,Lionel Hollins,MEM,7,7,82,56,26,415,214,201,415,0.516,35.0,0.5142857142857142,2012
18,Erik Spoelstra,MIA,5,5,82,66,16,394,260,134,394,0.66,79.0,0.6329113924050633,2012
19,Scott Skiles,MIL,5,13,32,16,16,344,162,182,876,0.506,42.0,0.42857142857142855,2012
20,Jim Boylan,MIL,1,2,50,22,28,50,22,28,106,0.434,4.0,0.0,2012
21,Rick Adelman,MIN,2,22,82,31,51,148,57,91,1709,0.586,157.0,0.5031847133757962,2012
22,Monty Williams,NOH,3,3,82,27,55,230,94,136,230,0.409,6.0,0.3333333333333333,2012
23,Mike Woodson,NYK,2,8,82,54,28,106,72,34,598,0.465,46.0,0.391304347826087,2012
24,Scott Brooks,OKC,5,5,82,60,22,381,234,147,381,0.614,54.0,0.5370370370370371,2012
25,Jacque Vaughn,ORL,1,1,82,20,62,82,20,62,82,0.244,,,2012
26,Doug Collins,PHI,3,11,82,34,48,230,110,120,849,0.521,56.0,0.4107142857142857,2012
27,Alvin Gentry,PHO,5,12,41,13,28,302,158,144,705,0.475,21.0,0.5714285714285714,2012
28,Lindsey Hunter,PHO,1,1,41,12,29,41,12,29,41,0.293,,,2012
29,Terry Stotts,POR,1,5,82,33,49,82,33,49,365,0.405,5.0,0.2,2012
30,Keith Smart,SAC,2,4,82,28,54,141,48,93,263,0.354,,,2012
31,Gregg Popovich,SAS,17,17,82,58,24,1328,905,423,1328,0.681,216.0,0.6157407407407407,2012
32,Dwane Casey,TOR,2,4,82,34,48,148,57,91,270,0.407,,,2012
33,Tyrone Corbin,UTA,3,3,82,43,39,176,87,89,176,0.494,4.0,0.0,2012
34,Randy Wittman,WAS,2,7,82,29,53,131,47,84,438,0.336,,,2012
0,Mike Budenholzer,ATL,1,1,82,38,44,82,38,44,82,0.463,7.0,0.42857142857142855,2013
1,Brad Stevens,BOS,1,1,82,25,57,82,25,57,82,0.305,,,2013
2,Jason Kidd,BRK,1,1,82,44,38,82,44,38,82,0.537,12.0,0.4166666666666667,2013
3,Steve Clifford,CHA,1,1,82,43,39,82,43,39,82,0.524,4.0,0.0,2013
4,Tom Thibodeau,CHI,4,4,82,48,34,312,205,107,312,0.657,39.0,0.4358974358974359,2013
5,Mike Brown,CLE,6,8,82,33,49,492,305,187,563,0.616,83.0,0.5662650602409639,2013
6,Rick Carlisle,DAL,6,12,82,49,33,476,288,188,968,0.588,110.0,0.509090909090909,2013
7,Brian Shaw,DEN,1,1,82,36,46,82,36,46,82,0.439,,,2013
8,Maurice Cheeks,DET,1,9,50,21,29,50,21,29,620,0.492,16.0,0.3125,2013
9,John Loyer,DET,1,1,32,8,24,32,8,24,32,0.25,,,2013
10,Mark Jackson,GSW,3,3,82,51,31,230,121,109,230,0.526,19.0,0.47368421052631576,2013
11,Kevin McHale,HOU,3,5,82,54,28,230,133,97,324,0.531,12.0,0.3333333333333333,2013
12,Frank Vogel,IND,4,4,82,56,26,267,167,100,267,0.625,54.0,0.5185185185185185,2013
13,Doc Rivers,LAC,1,15,82,57,25,82,57,25,1142,0.564,134.0,0.5223880597014925,2013
14,Mike D'Antoni,LAL,2,12,82,27,55,154,67,87,881,0.516,59.0,0.4406779661016949,2013
15,Dave Joerger,MEM,1,1,82,50,32,82,50,32,82,0.61,7.0,0.42857142857142855,2013
16,Erik Spoelstra,MIA,6,6,82,54,28,476,314,162,476,0.66,99.0,0.6363636363636364,2013
17,Larry Drew,MIL,1,4,82,15,67,82,15,67,312,0.458,24.0,0.4166666666666667,2013
18,Rick Adelman,MIN,3,23,82,40,42,230,97,133,1791,0.582,157.0,0.5031847133757962,2013
19,Monty Williams,NOP,4,4,82,34,48,312,128,184,312,0.41,6.0,0.3333333333333333,2013
20,Mike Woodson,NYK,3,9,82,37,45,188,109,79,680,0.463,46.0,0.391304347826087,2013
21,Scott Brooks,OKC,6,6,82,59,23,463,293,170,463,0.633,73.0,0.5342465753424658,2013
22,Jacque Vaughn,ORL,2,2,82,23,59,164,43,121,164,0.262,,,2013
23,Brett Brown,PHI,1,1,82,19,63,82,19,63,82,0.232,,,2013
24,Jeff Hornacek,PHO,1,1,82,48,34,82,48,34,82,0.585,,,2013
25,Terry Stotts,POR,2,6,82,54,28,164,87,77,447,0.452,16.0,0.375,2013
26,Michael Malone,SAC,1,1,82,28,54,82,28,54,82,0.341,,,2013
27,Gregg Popovich,SAS,18,18,82,62,20,1410,967,443,1410,0.686,239.0,0.6234309623430963,2013
28,Dwane Casey,TOR,3,5,82,48,34,230,105,125,352,0.449,7.0,0.42857142857142855,2013
29,Tyrone Corbin,UTA,4,4,82,25,57,258,112,146,258,0.434,4.0,0.0,2013
30,Randy Wittman,WAS,3,8,82,44,38,213,91,122,520,0.367,11.0,0.5454545454545454,2013
0,Mike Budenholzer,ATL,2,2,82,60,22,164,98,66,164,0.598,23.0,0.4782608695652174,2014
1,Brad Stevens,BOS,2,2,82,40,42,164,65,99,164,0.396,4.0,0.0,2014
2,Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,0.507,41.0,0.4878048780487805,2014
3,Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,0.647,51.0,0.45098039215686275,2014
4,Steve Clifford,CHO,2,2,82,33,49,164,76,88,164,0.463,4.0,0.0,2014
5,David Blatt,CLE,1,1,82,53,29,82,53,29,82,0.646,20.0,0.7,2014
6,Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,0.59,115.0,0.4956521739130435,2014
7,Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,0.397,,,2014
8,Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,0.435,,,2014
9,Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,0.61,87.0,0.5517241379310345,2014
10,Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,0.817,21.0,0.7619047619047619,2014
11,Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,0.562,29.0,0.4482758620689655,2014
12,Frank Vogel,IND,5,5,82,38,44,349,205,144,349,0.587,54.0,0.5185185185185185,2014
13,Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,0.572,148.0,0.5202702702702703,2014
14,Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,0.429,57.0,0.5789473684210527,2014
15,Dave Joerger,MEM,2,2,82,55,27,164,105,59,164,0.64,18.0,0.5,2014
16,Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,0.629,99.0,0.6363636363636364,2014
17,Jason Kidd,MIL,1,2,82,41,41,82,41,41,164,0.518,18.0,0.3888888888888889,2014
18,Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,0.525,98.0,0.47959183673469385,2014
19,Monty Williams,NOP,5,5,82,45,37,394,173,221,394,0.439,10.0,0.2,2014
20,Derek Fisher,NYK,1,1,82,17,65,82,17,65,82,0.207,,,2014
21,Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,0.62,73.0,0.5342465753424658,2014
22,Jacque Vaughn,ORL,3,3,52,15,37,216,58,158,216,0.269,,,2014
23,James Borrego,ORL,1,1,30,10,20,30,10,20,30,0.333,,,2014
24,Brett Brown,PHI,2,2,82,18,64,164,37,127,164,0.226,,,2014
25,Jeff Hornacek,PHO,2,2,82,39,43,164,87,77,164,0.53,,,2014
26,Terry Stotts,POR,3,7,82,51,31,246,138,108,529,0.478,21.0,0.3333333333333333,2014
27,Michael Malone,SAC,2,2,24,11,13,106,39,67,106,0.368,,,2014
28,Tyrone Corbin,SAC,1,5,28,7,21,28,7,21,286,0.416,4.0,0.0,2014
29,George Karl,SAC,1,26,30,11,19,30,11,19,1917,0.596,185.0,0.43243243243243246,2014
30,Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,0.685,246.0,0.6178861788617886,2014
31,Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,0.477,11.0,0.2727272727272727,2014
32,Quin Snyder,UTA,1,1,82,38,44,82,38,44,82,0.463,,,2014
33,Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,0.394,21.0,0.5714285714285714,2014
0,Mike Budenholzer,ATL,3,3,82,48,34,246,146,100,246,0.593,33.0,0.45454545454545453,2015
1,Brad Stevens,BOS,3,3,82,48,34,246,113,133,246,0.459,10.0,0.2,2015
2,Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,0.491,41.0,0.4878048780487805,2015
3,Tony Brown,BRK,1,1,45,11,34,45,11,34,45,0.244,,,2015
4,Fred Hoiberg,CHI,1,1,82,42,40,82,42,40,82,0.512,,,2015
5,Steve Clifford,CHO,3,3,82,48,34,246,124,122,246,0.504,11.0,0.2727272727272727,2015
6,David Blatt,CLE,2,2,41,30,11,123,83,40,123,0.675,20.0,0.7,2015
7,Tyronn Lue,CLE,1,1,41,27,14,41,27,14,41,0.659,21.0,0.7619047619047619,2015
8,Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,0.584,120.0,0.48333333333333334,2015
9,Michael Malone,DEN,1,3,82,33,49,82,33,49,188,0.383,,,2015
10,Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,0.602,91.0,0.5274725274725275,2015
11,Steve Kerr,GSW,2,2,82,73,9,164,140,24,164,0.854,45.0,0.6888888888888889,2015
12,Kevin McHale,HOU,5,7,11,4,7,323,193,130,417,0.556,29.0,0.4482758620689655,2015
13,J.B. Bickerstaff,HOU,1,1,71,37,34,71,37,34,71,0.521,5.0,0.2,2015
14,Frank Vogel,IND,6,6,82,45,37,431,250,181,431,0.58,61.0,0.5081967213114754,2015
15,Doc Rivers,LAC,3,17,82,53,29,246,166,80,1306,0.577,154.0,0.512987012987013,2015
16,Byron Scott,LAL,2,15,82,17,65,164,38,126,1101,0.412,57.0,0.5789473684210527,2015
17,Dave Joerger,MEM,3,3,82,42,40,246,147,99,246,0.598,22.0,0.4090909090909091,2015
18,Erik Spoelstra,MIA,8,8,82,48,34,640,399,241,640,0.623,113.0,0.6194690265486725,2015
19,Jason Kidd,MIL,2,3,82,33,49,164,74,90,246,0.48,18.0,0.3888888888888889,2015
20,Sam Mitchell,MIN,1,6,82,29,53,82,29,53,427,0.433,11.0,0.2727272727272727,2015
21,Alvin Gentry,NOP,1,13,82,30,52,82,30,52,787,0.464,21.0,0.5714285714285714,2015
22,Derek Fisher,NYK,2,2,54,23,31,136,40,96,136,0.294,,,2015
23,Kurt Rambis,NYK,1,4,28,9,19,28,9,19,229,0.284,8.0,0.375,2015
24,Billy Donovan,OKC,1,1,82,55,27,82,55,27,82,0.671,18.0,0.6111111111111112,2015
25,Scott Skiles,ORL,1,14,82,35,47,82,35,47,958,0.499,42.0,0.42857142857142855,2015
26,Brett Brown,PHI,3,3,82,10,72,246,47,199,246,0.191,,,2015
27,Jeff Hornacek,PHO,3,3,49,14,35,213,101,112,213,0.474,,,2015
28,Earl Watson,PHO,1,1,33,9,24,33,9,24,33,0.273,,,2015
29,Terry Stotts,POR,4,8,82,44,38,328,182,146,611,0.486,32.0,0.375,2015
30,George Karl,SAC,2,27,82,33,49,112,44,68,1999,0.588,185.0,0.43243243243243246,2015
31,Gregg Popovich,SAS,20,20,82,67,15,1574,1089,485,1574,0.692,256.0,0.6171875,2015
32,Dwane Casey,TOR,5,7,82,56,26,394,210,184,516,0.51,31.0,0.41935483870967744,2015
33,Quin Snyder,UTA,2,2,82,40,42,164,78,86,164,0.476,,,2015
34,Randy Wittman,WAS,5,10,82,41,41,377,178,199,684,0.406,21.0,0.5714285714285714,2015
0,Mike Budenholzer,ATL,4,4,82,43,39,328,189,139,328,0.576,39.0,0.4358974358974359,2016
1,Brad Stevens,BOS,4,4,82,53,29,328,166,162,328,0.506,28.0,0.39285714285714285,2016
2,Kenny Atkinson,BRK,1,1,82,20,62,82,20,62,82,0.244,,,2016
3,Fred Hoiberg,CHI,2,2,82,41,41,164,83,81,164,0.506,6.0,0.3333333333333333,2016
4,Steve Clifford,CHO,4,4,82,36,46,328,160,168,328,0.488,11.0,0.2727272727272727,2016
5,Tyronn Lue,CLE,2,2,82,51,31,123,78,45,123,0.634,39.0,0.7435897435897436,2016
6,Rick Carlisle,DAL,9,15,82,33,49,722,413,309,1214,0.572,120.0,0.48333333333333334,2016
7,Michael Malone,DEN,2,4,82,40,42,164,73,91,270,0.415,,,2016
8,Stan Van Gundy,DET,3,11,82,37,45,246,113,133,825,0.587,91.0,0.5274725274725275,2016
9,Steve Kerr,GSW,3,3,82,67,15,246,207,39,246,0.841,62.0,0.7580645161290323,2016
10,Mike D'Antoni,HOU,1,13,82,55,27,82,55,27,963,0.53,70.0,0.45714285714285713,2016
11,Nate McMillan,IND,1,13,82,42,40,82,42,40,1012,0.514,38.0,0.3684210526315789,2016
12,Doc Rivers,LAC,4,18,82,51,31,328,217,111,1388,0.579,161.0,0.5093167701863354,2016
13,Luke Walton,LAL,1,1,82,26,56,82,26,56,82,0.317,,,2016
14,David Fizdale,MEM,1,1,82,43,39,82,43,39,82,0.524,6.0,0.3333333333333333,2016
15,Erik Spoelstra,MIA,9,9,82,41,41,722,440,282,722,0.609,113.0,0.6194690265486725,2016
16,Jason Kidd,MIL,3,4,82,42,40,246,116,130,328,0.488,24.0,0.375,2016
17,Tom Thibodeau,MIN,1,6,82,31,51,82,31,51,476,0.601,51.0,0.45098039215686275,2016
18,Alvin Gentry,NOP,2,14,82,34,48,164,64,100,869,0.459,21.0,0.5714285714285714,2016
19,Jeff Hornacek,NYK,1,4,82,31,51,82,31,51,295,0.447,,,2016
20,Billy Donovan,OKC,2,2,82,47,35,164,102,62,164,0.622,23.0,0.5217391304347826,2016
21,Frank Vogel,ORL,1,7,82,29,53,82,29,53,513,0.544,61.0,0.5081967213114754,2016
22,Brett Brown,PHI,4,4,82,28,54,328,75,253,328,0.229,,,2016
23,Earl Watson,PHO,2,2,82,24,58,115,33,82,115,0.287,,,2016
24,Terry Stotts,POR,5,9,82,41,41,410,223,187,693,0.488,36.0,0.3333333333333333,2016
25,Dave Joerger,SAC,1,4,82,32,50,82,32,50,328,0.546,22.0,0.4090909090909091,2016
26,Gregg Popovich,SAS,21,21,82,61,21,1656,1150,506,1656,0.694,272.0,0.6102941176470589,2016
27,Dwane Casey,TOR,6,8,82,51,31,476,261,215,598,0.525,41.0,0.4146341463414634,2016
28,Quin Snyder,UTA,3,3,82,51,31,246,129,117,246,0.524,11.0,0.36363636363636365,2016
29,Scott Brooks,WAS,1,8,82,49,33,82,49,33,627,0.617,86.0,0.5348837209302325,2016
0,Mike Budenholzer,ATL,5,5,82,24,58,410,213,197,410,0.52,39.0,0.4358974358974359,2017
1,Brad Stevens,BOS,5,5,82,55,27,410,221,189,410,0.539,47.0,0.46808510638297873,2017
2,Kenny Atkinson,BRK,2,2,82,28,54,164,48,116,164,0.293,,,2017
3,Fred Hoiberg,CHI,3,3,82,27,55,246,110,136,246,0.447,6.0,0.3333333333333333,2017
4,Steve Clifford,CHO,5,5,82,36,46,410,196,214,410,0.478,11.0,0.2727272727272727,2017
5,Tyronn Lue,CLE,3,3,82,50,32,205,128,77,205,0.624,61.0,0.6721311475409836,2017
6,Rick Carlisle,DAL,10,16,82,24,58,804,437,367,1296,0.554,120.0,0.48333333333333334,2017
7,Michael Malone,DEN,3,5,82,46,36,246,119,127,352,0.449,,,2017
8,Stan Van Gundy,DET,4,12,82,39,43,328,152,176,907,0.577,91.0,0.5274725274725275,2017
9,Steve Kerr,GSW,4,4,82,58,24,328,265,63,328,0.808,83.0,0.7590361445783133,2017
10,Mike D'Antoni,HOU,2,14,82,65,17,164,120,44,1045,0.55,87.0,0.4942528735632184,2017
11,Nate McMillan,IND,2,14,82,48,34,164,90,74,1094,0.519,45.0,0.37777777777777777,2017
12,Doc Rivers,LAC,5,19,82,42,40,410,259,151,1470,0.576,161.0,0.5093167701863354,2017
13,Luke Walton,LAL,2,2,82,35,47,164,61,103,164,0.372,,,2017
14,David Fizdale,MEM,2,2,19,7,12,101,50,51,101,0.495,6.0,0.3333333333333333,2017
15,J.B. Bickerstaff,MEM,1,2,63,15,48,63,15,48,134,0.388,5.0,0.2,2017
16,Erik Spoelstra,MIA,10,10,82,44,38,804,484,320,804,0.602,118.0,0.6016949152542372,2017
17,Jason Kidd,MIL,4,5,45,23,22,291,139,152,373,0.491,24.0,0.375,2017
18,Joe Prunty,MIL,1,1,37,21,16,37,21,16,37,0.568,7.0,0.42857142857142855,2017
19,Tom Thibodeau,MIN,2,7,82,47,35,164,78,86,558,0.597,56.0,0.42857142857142855,2017
20,Alvin Gentry,NOP,3,15,82,48,34,246,112,134,951,0.47,30.0,0.5666666666666667,2017
21,Jeff Hornacek,NYK,2,5,82,29,53,164,60,104,377,0.427,,,2017
22,Billy Donovan,OKC,3,3,82,48,34,246,150,96,246,0.61,29.0,0.4827586206896552,2017
23,Frank Vogel,ORL,2,8,82,25,57,164,54,110,595,0.511,61.0,0.5081967213114754,2017
24,Brett Brown,PHI,5,5,82,52,30,410,127,283,410,0.31,10.0,0.5,2017
25,Earl Watson,PHO,3,3,3,0,3,118,33,85,118,0.28,,,2017
26,Jay Triano,PHO,1,4,79,21,58,79,21,58,308,0.351,,,2017
27,Terry Stotts,POR,6,10,82,49,33,492,272,220,775,0.499,40.0,0.3,2017
28,Dave Joerger,SAC,2,5,82,27,55,164,59,105,410,0.502,22.0,0.4090909090909091,2017
29,Gregg Popovich,SAS,22,22,82,47,35,1738,1197,541,1738,0.689,277.0,0.6028880866425993,2017
30,Dwane Casey,TOR,7,9,82,59,23,558,320,238,680,0.549,51.0,0.4117647058823529,2017
31,Quin Snyder,UTA,4,4,82,48,34,328,177,151,328,0.54,22.0,0.4090909090909091,2017
32,Scott Brooks,WAS,2,9,82,43,39,164,92,72,709,0.606,92.0,0.5217391304347826,2017
0,Lloyd Pierce,ATL,1,1,82,29,53,82,29,53,82,0.354,,,2018
1,Brad Stevens,BOS,6,6,82,49,33,492,270,222,492,0.549,56.0,0.48214285714285715,2018
2,Kenny Atkinson,BRK,3,3,82,42,40,246,90,156,246,0.366,5.0,0.2,2018
3,Fred Hoiberg,CHI,4,4,24,5,19,270,115,155,270,0.426,6.0,0.3333333333333333,2018
4,Jim Boylen,CHI,1,1,58,17,41,58,17,41,58,0.293,,,2018
5,James Borrego,CHO,1,2,82,39,43,82,39,43,112,0.438,,,2018
6,Tyronn Lue,CLE,4,4,6,0,6,211,128,83,211,0.607,61.0,0.6721311475409836,2018
7,Larry Drew,CLE,1,5,76,19,57,76,19,57,388,0.418,24.0,0.4166666666666667,2018
8,Rick Carlisle,DAL,11,17,82,33,49,886,470,416,1378,0.545,120.0,0.48333333333333334,2018
9,Michael Malone,DEN,4,6,82,54,28,328,173,155,434,0.488,14.0,0.5,2018
10,Dwane Casey,DET,1,10,82,41,41,82,41,41,762,0.543,55.0,0.38181818181818183,2018
11,Steve Kerr,GSW,5,5,82,57,25,410,322,88,410,0.785,105.0,0.7333333333333333,2018
12,Mike D'Antoni,HOU,3,15,82,53,29,246,173,73,1127,0.557,98.0,0.5,2018
13,Nate McMillan,IND,3,15,82,48,34,246,138,108,1176,0.524,49.0,0.3469387755102041,2018
14,Doc Rivers,LAC,6,20,82,48,34,492,307,185,1552,0.576,167.0,0.5029940119760479,2018
15,Luke Walton,LAL,3,3,82,37,45,246,98,148,246,0.398,,,2018
16,J.B. Bickerstaff,MEM,2,3,82,33,49,145,48,97,216,0.394,5.0,0.2,2018
17,Erik Spoelstra,MIA,11,11,82,39,43,886,523,363,886,0.59,118.0,0.6016949152542372,2018
18,Mike Budenholzer,MIL,1,6,82,60,22,82,60,22,492,0.555,54.0,0.5,2018
19,Tom Thibodeau,MIN,3,8,40,19,21,204,97,107,598,0.589,56.0,0.42857142857142855,2018
20,Ryan Saunders,MIN,1,1,42,17,25,42,17,25,42,0.405,,,2018
21,Alvin Gentry,NOP,4,16,82,33,49,328,145,183,1033,0.465,30.0,0.5666666666666667,2018
22,David Fizdale,NYK,1,3,82,17,65,82,17,65,183,0.366,6.0,0.3333333333333333,2018
23,Billy Donovan,OKC,4,4,82,49,33,328,199,129,328,0.607,34.0,0.4411764705882353,2018
24,Steve Clifford,ORL,1,6,82,42,40,82,42,40,492,0.484,16.0,0.25,2018
25,Brett Brown,PHI,6,6,82,51,31,492,178,314,492,0.362,22.0,0.5454545454545454,2018
26,Igor Kokoskov,PHO,1,1,82,19,63,82,19,63,82,0.232,,,2018
27,Terry Stotts,POR,7,11,82,53,29,574,325,249,857,0.513,56.0,0.35714285714285715,2018
28,Dave Joerger,SAC,3,6,82,39,43,246,98,148,492,0.498,22.0,0.4090909090909091,2018
29,Gregg Popovich,SAS,23,23,82,48,34,1820,1245,575,1820,0.684,284.0,0.5985915492957746,2018
30,Nick Nurse,TOR,1,1,82,58,24,82,58,24,82,0.707,24.0,0.6666666666666666,2018
31,Quin Snyder,UTA,5,5,82,50,32,410,227,183,410,0.554,27.0,0.37037037037037035,2018
32,Scott Brooks,WAS,3,10,82,32,50,246,124,122,791,0.584,92.0,0.5217391304347826,2018
0,Lloyd Pierce,ATL,2,2,67,20,47,149,49,100,149,0.329,,,2019
1,Brad Stevens,BOS,7,7,72,48,24,564,318,246,564,0.564,73.0,0.5068493150684932,2019
2,Kenny Atkinson,BRK,4,4,62,28,34,308,118,190,308,0.383,5.0,0.2,2019
3,Jacque Vaughn,BRK,1,4,10,7,3,10,7,3,226,0.288,4.0,0.0,2019
4,Jim Boylen,CHI,2,2,65,22,43,123,39,84,123,0.317,,,2019
5,James Borrego,CHO,2,3,65,23,42,147,62,85,177,0.407,,,2019
6,John Beilein,CLE,1,1,54,14,40,54,14,40,54,0.259,,,2019
7,J.B. Bickerstaff,CLE,1,4,11,5,6,11,5,6,227,0.396,5.0,0.2,2019
8,Rick Carlisle,DAL,12,18,75,43,32,961,513,448,1453,0.546,126.0,0.47619047619047616,2019
9,Michael Malone,DEN,5,7,73,46,27,401,219,182,507,0.509,33.0,0.48484848484848486,2019
10,Dwane Casey,DET,2,11,66,20,46,148,61,87,828,0.524,55.0,0.38181818181818183,2019
11,Steve Kerr,GSW,6,6,65,15,50,475,337,138,475,0.709,105.0,0.7333333333333333,2019
12,Mike D'Antoni,HOU,4,16,72,44,28,318,217,101,1199,0.56,110.0,0.4909090909090909,2019
13,Nate McMillan,IND,4,16,73,45,28,319,183,136,1249,0.529,53.0,0.32075471698113206,2019
14,Doc Rivers,LAC,7,21,72,49,23,564,356,208,1624,0.581,180.0,0.5055555555555555,2019
15,Frank Vogel,LAL,1,9,71,52,19,71,52,19,666,0.535,82.0,0.573170731707317,2019
16,Taylor Jenkins,MEM,1,1,73,34,39,73,34,39,73,0.466,,,2019
17,Erik Spoelstra,MIA,12,12,73,44,29,959,567,392,959,0.591,139.0,0.6115107913669064,2019
18,Mike Budenholzer,MIL,2,7,73,56,17,155,116,39,565,0.582,64.0,0.5,2019
19,Ryan Saunders,MIN,2,2,64,19,45,106,36,70,106,0.34,,,2019
20,Alvin Gentry,NOP,5,17,72,30,42,400,175,225,1105,0.462,30.0,0.5666666666666667,2019
21,David Fizdale,NYK,2,4,22,4,18,104,21,83,205,0.346,6.0,0.3333333333333333,2019
22,Mike Miller,NYK,1,1,44,17,27,44,17,27,44,0.386,,,2019
23,Billy Donovan,OKC,5,5,72,44,28,400,243,157,400,0.608,41.0,0.43902439024390244,2019
24,Steve Clifford,ORL,2,7,73,33,40,155,75,80,565,0.48,21.0,0.23809523809523808,2019
25,Brett Brown,PHI,7,7,73,43,30,565,221,344,565,0.391,26.0,0.46153846153846156,2019
26,Monty Williams,PHO,1,6,73,34,39,73,34,39,467,0.443,10.0,0.2,2019
27,Terry Stotts,POR,8,12,74,35,39,648,360,288,931,0.51,61.0,0.3442622950819672,2019
28,Luke Walton,SAC,1,4,72,31,41,72,31,41,318,0.406,,,2019
29,Gregg Popovich,SAS,24,24,71,32,39,1891,1277,614,1891,0.675,284.0,0.5985915492957746,2019
30,Nick Nurse,TOR,2,2,72,53,19,154,111,43,154,0.721,35.0,0.6571428571428571,2019
31,Quin Snyder,UTA,6,6,72,44,28,482,271,211,482,0.562,34.0,0.38235294117647056,2019
32,Scott Brooks,WAS,4,11,72,25,47,318,149,169,863,0.564,92.0,0.5217391304347826,2019
0,Lloyd Pierce,ATL,3,3,34,14,20,183,63,120,183,0.344,,,2020
1,Nate McMillan,ATL,1,17,38,27,11,38,27,11,1287,0.535,71.0,0.38028169014084506,2020
2,Brad Stevens,BOS,8,8,72,36,36,636,354,282,636,0.557,78.0,0.48717948717948717,2020
3,Steve Nash,BRK,1,1,72,48,24,72,48,24,72,0.667,12.0,0.5833333333333334,2020
4,Billy Donovan,CHI,1,6,72,31,41,72,31,41,472,0.581,41.0,0.43902439024390244,2020
5,James Borrego,CHO,3,4,72,33,39,219,95,124,249,0.422,,,2020
6,J.B. Bickerstaff,CLE,2,5,72,22,50,83,27,56,299,0.375,5.0,0.2,2020
7,Rick Carlisle,DAL,13,19,72,42,30,1033,555,478,1525,0.548,133.0,0.47368421052631576,2020
8,Michael Malone,DEN,6,8,72,47,25,473,266,207,579,0.527,43.0,0.46511627906976744,2020
9,Dwane Casey,DET,3,12,72,20,52,220,81,139,900,0.504,55.0,0.38181818181818183,2020
10,Steve Kerr,GSW,7,7,72,39,33,547,376,171,547,0.687,105.0,0.7333333333333333,2020
11,Stephen Silas,HOU,1,1,72,17,55,72,17,55,72,0.236,,,2020
12,Nate Bjorkgren,IND,1,1,72,34,38,72,34,38,72,0.472,,,2020
13,Tyronn Lue,LAC,1,5,72,47,25,72,47,25,283,0.618,80.0,0.6375,2020
14,Frank Vogel,LAL,2,10,72,42,30,143,94,49,738,0.539,88.0,0.5568181818181818,2020
15,Taylor Jenkins,MEM,2,2,72,38,34,145,72,73,145,0.497,5.0,0.2,2020
16,Erik Spoelstra,MIA,13,13,72,40,32,1031,607,424,1031,0.589,143.0,0.5944055944055944,2020
17,Mike Budenholzer,MIL,3,8,72,46,26,227,162,65,637,0.589,87.0,0.5517241379310345,2020
18,Ryan Saunders,MIN,3,3,31,7,24,137,43,94,137,0.314,,,2020
