TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Charlotte Hornets,72,33,39,48.2,17.7,12.7,13.6,45.9,16.9,13.2,13.2,47.2,2020
San Antonio Spurs,72,33,39,48.6,15.7,12.1,11.7,47.8,14.3,13.3,11.9,50.1,2020
Chicago Bulls,72,31,41,48.3,14.5,13.2,11.5,49.4,17.8,11.6,11.7,48.9,2020
New Orleans Pelicans,72,31,41,48.4,15.3,14.9,14.1,54.4,18.3,11.9,13.0,46.7,2020
Sacramento Kings,72,31,41,48.1,16.4,12.2,14.1,53.3,17.0,14.0,12.6,53.4,2020
Toronto Raptors,72,27,45,48.1,18.6,12.5,13.7,43.6,15.6,13.9,11.6,42.9,2020
Minnesota Timberwolves,72,23,49,48.3,18.6,13.7,12.1,49.3,16.8,14.5,14.0,49.8,2020
Cleveland Cavaliers,72,22,50,48.4,16.3,12.9,11.3,51.0,17.9,12.1,12.9,50.6,2020
Oklahoma City Thunder,72,22,50,48.2,14.2,11.7,9.2,47.7,20.0,13.4,11.6,49.5,2020
Orlando Magic,72,21,51,48.1,13.4,13.2,10.3,41.6,15.8,11.7,14.2,47.2,2020
Detroit Pistons,72,20,52,48.4,16.5,12.7,10.7,47.4,17.3,13.4,11.6,51.3,2020
Houston Rockets,72,17,55,48.1,18.0,12.2,11.1,46.7,17.5,13.1,14.7,50.0,2020
Milwaukee Bucks,73,56,17,48.2,16.6,12.3,18.0,49.3,16.9,11.3,13.6,38.7,2019
Toronto Raptors,72,53,19,48.3,19.5,11.9,18.8,46.8,16.9,13.5,12.7,41.5,2019
Los Angeles Lakers,71,52,19,48.1,19.0,14.1,18.4,52.8,17.4,12.0,16.5,45.8,2019
LA Clippers,72,49,23,48.3,17.9,14.2,13.7,47.7,16.5,12.4,13.3,44.6,2019
Boston Celtics,72,48,24,48.4,17.6,13.3,15.2,47.8,15.1,13.2,13.2,43.4,2019
Denver Nuggets,73,46,27,48.6,16.6,14.2,11.8,49.8,16.2,12.2,12.4,48.2,2019
Indiana Pacers,73,45,28,48.3,17.3,11.8,12.8,49.3,15.0,13.2,13.6,47.6,2019
Houston Rockets,72,44,28,48.3,18.9,12.1,14.6,45.9,17.8,14.1,15.1,51.5,2019
Miami Heat,73,44,29,48.6,16.2,11.8,11.3,43.9,17.9,12.8,11.4,44.1,2019
Oklahoma City Thunder,72,44,28,48.4,16.9,10.7,9.5,45.7,16.0,12.6,10.9,48.4,2019
Utah Jazz,72,44,28,48.2,14.3,12.4,10.5,47.1,17.1,12.1,12.5,47.4,2019
Dallas Mavericks,75,43,32,48.5,14.6,14.5,11.7,44.8,14.3,13.4,16.4,48.8,2019
Philadelphia 76ers,73,43,30,48.2,15.9,13.1,13.5,47.5,16.4,11.6,13.7,48.1,2019
Brooklyn Nets,72,35,37,48.6,14.8,13.6,13.1,49.6,17.0,13.2,13.1,46.4,2019
