TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-,Season
LA Clippers,82,44,38,48.4,41.8,88.3,47.4,12.2,33.4,36.5,17.2,22.3,77.1,10.2,32.9,43.1,25.0,13.0,7.8,4.2,4.4,19.6,19.5,113.1,-0.5,2022
Miami Heat,82,44,38,48.3,40.1,83.2,48.2,13.1,35.8,36.7,16.5,21.1,78.1,8.9,33.0,41.8,25.6,15.7,7.0,3.8,3.0,20.0,18.5,109.8,0.3,2022
Los Angeles Lakers,82,43,39,48.5,44.0,93.9,46.9,12.5,36.5,34.4,16.1,20.8,77.3,11.1,33.8,44.9,25.7,12.6,7.6,5.1,4.6,21.5,17.9,116.6,-0.6,2022
Minnesota Timberwolves,82,42,40,48.4,41.8,88.7,47.1,12.3,33.3,36.9,19.9,26.0,76.6,11.3,33.3,44.7,25.0,15.4,8.2,4.1,5.4,20.2,21.6,115.8,0.0,2022
New Orleans Pelicans,82,42,40,48.4,40.9,86.6,47.2,12.2,36.0,33.9,18.4,23.6,77.9,9.7,32.1,41.8,24.9,15.0,7.3,4.7,4.1,20.4,20.5,112.5,-1.9,2022
Atlanta Hawks,82,41,41,48.4,43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26.0,14.2,7.5,5.0,4.9,19.7,18.8,118.1,-0.3,2022
Toronto Raptors,82,41,41,48.3,40.4,82.3,49.1,12.2,32.6,37.4,18.4,23.1,79.7,9.2,33.0,42.3,26.2,16.7,6.0,4.6,5.2,19.6,20.0,111.4,-1.5,2022
Chicago Bulls,82,40,42,48.5,40.7,87.1,46.8,13.2,37.1,35.7,17.1,22.0,77.9,9.6,33.7,43.3,26.0,15.0,6.7,4.7,4.5,18.7,18.9,111.8,-1.3,2022
Oklahoma City Thunder,82,40,42,48.4,41.9,88.4,47.4,12.9,36.0,35.8,19.6,25.5,77.1,12.0,34.6,46.6,25.9,16.8,7.0,5.5,4.2,20.4,21.0,116.4,-1.1,2022
Dallas Mavericks,82,38,44,48.6,41.8,86.2,48.5,11.1,31.7,35.2,19.5,25.0,78.1,10.1,34.6,44.7,24.9,13.1,6.4,3.8,3.7,21.8,20.7,114.1,-0.1,2022
Utah Jazz,82,37,45,48.3,43.4,91.6,47.3,12.5,34.5,36.1,18.8,24.3,77.6,11.2,32.2,43.5,25.0,12.6,7.8,4.9,5.2,20.5,20.5,118.0,0.9,2022
